ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Stock,Manage stock?,Categories,Tags,Images
48675,simple,48675,"Caja de Regalo Crema Universal - Edición Especial",1,"Trío de cremas universales: Grosella Negra, Original y Ciruela Dulce.","Trío de cremas universales: Grosella Negra, Original y Ciruela Dulce.",36,13.85,100,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48675%2F48675_1.png
48105,simple,48105,"Mascarilla Revitalizante Intensiva Acción Noche Novage+",1,"Mascarilla nocturna intensiva para una piel revitalizada al despertar.","Mascarilla nocturna intensiva para una piel revitalizada al despertar.",39,20.78,80,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48105%2F48105_1.png
48117,simple,48117,"Crema de Noche Reafirmante Royal Velvet - Edición Especial",1,"Crema de noche rica en infusión de Iris Negro para reafirmar la piel madura.","Crema de noche rica en infusión de Iris Negro para reafirmar la piel madura.",42,18.47,55,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48117%2F48117_1.png
48115,simple,48115,"Crema de Día Reafirmante SPF 20 Royal Velvet",1,"Crema de día reafirmante que hidrata y protege la piel.","Crema de día reafirmante que hidrata y protege la piel.",42,18.47,12,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48115%2F48115_1.png
48114,simple,48114,"Cápsulas Restauradoras con Aceites Naturales Novage+",1,"Mezcla de aceites preciosos en cápsulas monodosis para nutrir la piel.","Mezcla de aceites preciosos en cápsulas monodosis para nutrir la piel.",65,32.33,8,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48114%2F48114_1.png
48649,simple,48649,"Crema Universal Original - Edición Especial",1,"La fórmula original icónica que suaviza y protege la piel seca.","La fórmula original icónica que suaviza y protege la piel seca.",14,5.38,727,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48649%2F48649_1.png
45147,simple,45147,"Serum Facial de Aceite Reafirmante y Relajante Wellosophy",1,"Aceite facial ligero que reafirma y relaja la piel estresada.","Aceite facial ligero que reafirma y relaja la piel estresada.",26.95,,142,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45147%2F45147_1.png
45248,simple,45248,"Serum Even Out Optimals",1,"Serum que reduce la apariencia de manchas oscuras y unifica el tono.","Serum que reduce la apariencia de manchas oscuras y unifica el tono.",30,13.85,317,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45248%2F45248_1.png
45245,simple,45245,"Crema Hidratante Rica Even Out Optimals",1,"Hidratante rica que ayuda a prevenir manchas y nutre la piel.","Hidratante rica que ayuda a prevenir manchas y nutre la piel.",27,10.00,222,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45245%2F45245_1.png
47439,simple,47439,"Crema Universal con Ciruela Dulce",1,"Edición limitada con delicioso aroma a ciruela dulce.","Edición limitada con delicioso aroma a ciruela dulce.",14,4.84,1618,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47439%2F47439_1.png
45291,simple,45291,"Contorno de Ojos y Labios Optimals",1,"Cuidado reafirmante para la delicada zona de ojos y labios.","Cuidado reafirmante para la delicada zona de ojos y labios.",24,12.31,436,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45291%2F45291_1.png
44098,simple,44098,"Tratamiento de Día SPF 30 Multi-Correcting Restore Novage+",1,"Crema de día multi-correctora con SPF 30. Combate los signos del envejecimiento.","Crema de día multi-correctora con SPF 30. Combate los signos del envejecimiento.",55,19.24,839,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44098%2F44098_1.png
44285,simple,44285,"Tratamiento de Noche Multi-Recover Restore Novage+",1,"Crema de noche reparadora que activa la recuperación nocturna de la piel.","Crema de noche reparadora que activa la recuperación nocturna de la piel.",55,19.24,668,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44285%2F44285_1.png
41075,simple,41075,"Serum Renewing Restore Novage+",1,"Serum renovador que mejora la elasticidad y reduce arrugas profundas.","Serum renovador que mejora la elasticidad y reduce arrugas profundas.",64,29.25,664,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41075%2F41075_1.png
41070,simple,41070,"Contorno de Ojos y Labios Renewing Restore Novage+",1,"Contorno de ojos avanzado para restaurar la firmeza.","Contorno de ojos avanzado para restaurar la firmeza.",38,13.08,504,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41070%2F41070_1.png
45292,simple,45292,"Multi-Protector SPF 50 Daily Glow Optimals",1,"Protección solar alta con acabado luminoso para uso diario.","Protección solar alta con acabado luminoso para uso diario.",29,10.00,738,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45292%2F45292_1.png
45243,simple,45243,"Crema Hidratante Ligera Even Out Optimals",1,"Hidratante ligera que unifica el tono y matifica la piel.","Hidratante ligera que unifica el tono y matifica la piel.",27,10.00,204,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45243%2F45243_1.png
46989,simple,46989,"Crema Universal con Mandarina Dulce",1,"Edición especial con extracto de mandarina. Suaviza y protege.","Edición especial con extracto de mandarina. Suaviza y protege.",14,5.38,2295,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46989%2FES%2F46989_1.png
41059,simple,41059,"Fluido Ultraligero Alta Protección SPF 50 Proceuticals Novage+",1,"Escudo protector invisible contra rayos UVA/UVB y contaminación.","Escudo protector invisible contra rayos UVA/UVB y contaminación.",30,16.16,1888,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41059%2F41059_1.png
41032,simple,41032,"Limpiadora Oleosa Comfort Novage+",1,"Limpiadora en aceite que disuelve el maquillaje y las impurezas al instante.","Limpiadora en aceite que disuelve el maquillaje y las impurezas al instante.",30,16.93,510,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41032%2F41032_1.png
47437,simple,47437,"Parches Faciales de Gel Hydra-Glow Optimals",1,"Parches refrescantes para hidratar y revitalizar la zona de los ojos.","Parches refrescantes para hidratar y revitalizar la zona de los ojos.",12,4.23,0,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47437%2F47437_1.png
34849,simple,34849,"Aceite Purificante con Árbol de Té y Lima Love Nature",1,"Aceite concentrado para combatir imperfecciones y purificar la piel.","Aceite concentrado para combatir imperfecciones y purificar la piel.",18,6.54,1783,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F34849%2F34849_1.png
41037,simple,41037,"Serum Lift + Firm Novage+",1,"Serum lifting que redefine el óvalo facial y mejora la firmeza.","Serum lifting que redefine el óvalo facial y mejora la firmeza.",58,26.94,583,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41037%2F41037_1.png
47102,simple,47102,"Retinol Power Drops Proceuticals Novage+",1,"Tratamiento intensivo con Retinol encapsulado para reducir arrugas.","Tratamiento intensivo con Retinol encapsulado para reducir arrugas.",44,23.09,421,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47102%2F47102_1.png
40670,simple,40670,"Prebase Perfeccionadora Woke Up Like This Waunt",1,"Prebase híbrida que ilumina y perfecciona la piel al instante.","Prebase híbrida que ilumina y perfecciona la piel al instante.",27,13.85,418,1,makeup,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F40670%2FES%2F40670_1.png
41035,simple,41035,"Serum Wrinkle Smooth Novage+",1,"Serum antiarrugas avanzado que suaviza la textura de la piel.","Serum antiarrugas avanzado que suaviza la textura de la piel.",58,26.94,395,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41035%2F41035_1.png
41040,simple,41040,"Serum Bright Intense",1,"Serum iluminador que reduce manchas y mejora la luminosidad.","Serum iluminador que reduce manchas y mejora la luminosidad.",58,26.94,338,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41040%2F41040_1.png
48678,simple,48678,"Parches Exfoliantes y Limpiadores Proceuticals Novage+",1,"Discos exfoliantes de doble cara para una piel suave y radiante.","Discos exfoliantes de doble cara para una piel suave y radiante.",9,3.84,271,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F48678%2F48678_1.png
45326,simple,45326,"Crema Hidratante SPF 25 The Beyond Optimals",1,"Hidratante diaria con protección SPF 25 para todo tipo de pieles.","Hidratante diaria con protección SPF 25 para todo tipo de pieles.",36,18.47,358,1,skincare,"NOVEDAD",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F45326%2F45326_1.png
46900,simple,46900,"Limpiador Soft Creamy Optimals",1,"Limpiadora en crema suave que elimina impurezas sin resecar.","Limpiadora en crema suave que elimina impurezas sin resecar.",19,8.46,576,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46900%2F46900_1.png
46992,simple,46992,"Mascarilla Facial Iluminadora Gel to Ice con Mango Orgánico Love Nature",1,"Mascarilla refrescante de mango para una piel radiante.","Mascarilla refrescante de mango para una piel radiante.",6,2.30,468,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46992%2F46992_1.png
46990,simple,46990,"Mascarilla Facial Hidratante Gel to Ice con Sandía Orgánica Love Nature",1,"Mascarilla hidratante de sandía. Úsala fría para un efecto calmante.","Mascarilla hidratante de sandía. Úsala fría para un efecto calmante.",6,2.30,567,1,skincare,"OFERTA",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46990%2F46990_1.png
